0,10
1,11
2,11
3,11
4,11
5,11
6,11
7,11
8,11
9,11
10,11
11,11
12,11
13,11
14,11
15,11
16,11
17,11
18,11
19,11
20,11
21,11
22,11
23,11
24,11
25,11
26,11
27,11
28,11
29,11
30,11
31,11
32,10
33,10
34,10
35,11
36,10
37,10
38,10
39,10
40,10
41,10
42,10
43,10
44,10
45,10
46,10
47,10
48,10
49,10
50,10
51,10
52,10
53,11
54,10
55,10
56,11
57,11
58,10
59,11
60,11
61,11
62,11
63,11
64,11
65,11
66,11
67,11
68,11
69,11
70,11
71,10
72,11
73,11
74,11
75,11
76,11
77,10
78,10
79,10
80,10
81,11
82,10
83,11
84,10
85,10
86,10
87,10
88,10
89,10
90,10
91,10
92,10
93,10
94,10
95,10
96,10
97,10
98,10
99,10
100,10
101,10
102,10
103,10
104,10
105,11
106,11
107,11
108,10
109,11
110,11
111,11
112,11
113,11
114,11
115,11
116,10
117,10
118,11
119,11
120,9
121,10
122,10
123,10
124,11
125,9
126,10
127,9
128,10
129,9
130,10
131,9
132,9
133,10
134,11
135,9
136,10
137,10
138,9
139,8
140,9
141,10
142,10
143,10
144,10
145,10
146,10
147,10
148,10
149,10
150,10
151,10
152,10
153,10
154,9
155,9
156,11
157,10
158,10
159,9
160,10
161,10
162,10
163,9
164,10
165,10
166,10
167,10
168,10
169,10
170,10
171,10
172,10
173,10
174,10
175,10
176,10
177,10
178,9
179,10
180,10
181,9
182,10
183,6
184,8
185,9
186,8
187,8
188,8
189,11
190,9
191,9
192,9
193,8
194,8
195,8
196,7
197,6
198,7
199,8
200,8
201,9
202,6
203,7
204,8
205,9
206,8
207,9
208,8
209,8
210,9
211,8
212,7
213,8
214,7
215,7
216,9
217,8
218,8
219,9
220,8
221,7
222,8
223,7
224,7
225,9
226,9
227,8
228,10
229,9
230,10
231,9
232,8
233,8
234,9
235,9
236,9
237,7
238,9
239,9
240,8
241,8
242,9
243,10
244,10
245,10
246,9
247,9
248,9
249,9
250,8
251,9
252,10
253,10
254,9
255,8
256,9
257,8
258,7
259,9
260,10
261,9
262,11
263,11
264,9
265,8
266,7
267,9
268,7
269,7
270,8
271,7
272,7
273,7
274,7
275,8
276,8
277,8
278,7
279,8
280,9
281,8
282,9
283,7
284,7
285,7
286,9
287,8
288,8
289,7
290,7
291,6
292,7
293,8
294,8
295,8
296,8
297,8
298,8
299,8
300,7
301,7
302,7
303,7
304,7
305,8
306,8
307,7
308,7
309,8
310,8
311,8
312,7
313,7
314,7
315,7
316,7
317,7
318,9
319,8
320,9
321,9
322,9
323,7
324,8
325,7
326,7
327,8
328,8
329,9
330,9
331,7
332,7
333,7
334,9
335,8
336,8
337,9
338,7
339,10
340,9
341,10
342,8
343,9
344,9
345,7
346,8
347,8
348,8
349,9
350,8
351,9
352,7
353,9
354,10
355,8
356,9
357,9
358,9
359,9
360,8
361,9
362,8
363,9
364,10
365,10
366,10
367,9
368,10
369,10
370,10
371,10
372,11
373,10
374,9
375,8
376,11
377,11
378,10
379,10
380,10
381,9
382,9
383,9
384,10
385,11
386,11
387,10
388,11
389,11
390,11
391,11
392,11
393,11
394,11
395,11
396,11
397,11
398,11
399,11
400,10
401,10
402,10
403,10
404,10
405,9
406,10
407,11
408,10
409,9
410,9
411,9
412,10
413,9
414,8
415,8
416,9
417,9
418,10
419,9
420,8
421,10
422,11
423,11
424,10
425,10
426,10
427,10
428,10
429,10
430,10
431,10
432,10
433,10
434,10
435,9
436,9
437,9
438,9
439,10
440,10
